setting,Graph Name,PR1,PR2,ROC1,ROC2,PR3,ROC3
hedge-4_negtype-clique-2_seed-9_jc,email-Enron,0.68912622221629,0.6879506178592509,0.3636607622114869,0.3612453032742888,,
hedge-4_negtype-clique-5_seed-9_aa,email-Eu,0.4542177694136093,0.5921790189632913,0.6718842226228838,0.7594232113680339,,
hedge-4_negtype-clique-5_seed-9_aa,email-Enron,0.2835914683475053,0.3457260597460987,0.4566059993259184,0.5647118301314461,,
hedge-4_negtype-clique-5_seed-9_am,email-Eu,0.7548037281425319,0.7651707193867924,0.8702342654546259,0.8714634163400437,,
hedge-4_negtype-clique-5_seed-9_am,email-Enron,0.5432400311037895,0.5532177799609268,0.7216043141220088,0.732221098752949,,
hedge-4_negtype-clique-5_seed-9_cn,email-Eu,0.4418097659884807,0.6020768341453666,0.6673982172142552,0.7544476134493799,,
hedge-4_negtype-clique-5_seed-9_cn,email-Enron,0.27713321174912,0.3490403890486073,0.4559319177620492,0.5677451971688575,,
hedge-4_negtype-clique-5_seed-9_gm,email-Eu,0.7354370402846372,0.7882792366287141,0.807335312179085,0.8174648595736167,,
hedge-4_negtype-clique-5_seed-9_gm,email-Enron,0.6336043667360529,0.6410965956931952,0.7361813279406807,0.7287243006403775,,
hedge-4_negtype-clique-5_seed-9_hm,email-Eu,0.7578061798522849,0.7552451483452012,0.8922741389633836,0.8831014256264884,,
hedge-4_negtype-clique-5_seed-9_hm,email-Enron,0.7232094249163146,0.7235401537066101,0.8727249747219413,0.8678800134816312,,
hedge-4_negtype-clique-5_seed-9_jc,email-Eu,0.3701957315390118,0.3747007428864909,0.6182893516061827,0.6274100647448082,,
hedge-4_negtype-clique-5_seed-9_jc,email-Enron,0.33512996580076165,0.3327380503173144,0.5048449612403101,0.5102797438490058,,
hedge-4_negtype-star-1_seed-9_aa,email-Eu,0.9578292116273416,0.9838795209386936,0.7351596078251427,0.8837088361706358,,
hedge-4_negtype-star-1_seed-9_aa,email-Enron,0.8657275144533574,0.9604257337017736,0.35748792270531404,0.7294685990338164,,
hedge-4_negtype-star-1_seed-9_am,email-Eu,0.9914569045737044,0.9914386615562479,0.9364283638477188,0.9360498019241652,,
hedge-4_negtype-star-1_seed-9_am,email-Enron,0.98345263497919,0.9812994708443654,0.8357487922705316,0.8115942028985508,,
hedge-4_negtype-star-1_seed-9_cn,email-Eu,0.9550577397395668,0.9840450578761264,0.7195582679453646,0.8843359488520778,,
hedge-4_negtype-star-1_seed-9_cn,email-Enron,0.8692443817958252,0.9491857741359404,0.35628019323671506,0.7173913043478262,,
hedge-4_negtype-star-1_seed-9_gm,email-Eu,0.9906728643804558,0.9902611659999184,0.9053671668272688,0.9042123617675399,,
hedge-4_negtype-star-1_seed-9_gm,email-Enron,0.9861736261624848,0.9817551813952168,0.8454106280193238,0.8091787439613527,,
hedge-4_negtype-star-1_seed-9_hm,email-Eu,0.9915399324664036,0.9915419527282718,0.9188462656204592,0.9193280717049817,,
hedge-4_negtype-star-1_seed-9_hm,email-Enron,0.9909839108650114,0.9909839108650114,0.9033816425120772,0.9033816425120772,,
hedge-4_negtype-star-1_seed-9_jc,email-Eu,0.9616509609340655,0.9648399999772508,0.7516251395708102,0.7724651646553176,,
hedge-4_negtype-star-1_seed-9_jc,email-Enron,0.9543565833256143,0.9597975406220152,0.608695652173913,0.6521739130434783,,
hedge-4_negtype-star-10_seed-9_aa,email-Eu,0.27178533563832896,0.6184809125821663,0.7595265386600426,0.9057485164665184,,
hedge-4_negtype-star-10_seed-9_aa,email-Enron,0.15415426151318387,0.32824886367404016,0.611279143037177,0.7941923965553455,,
hedge-4_negtype-star-10_seed-9_am,email-Eu,0.6854474662915215,0.6803246571737177,0.9326267530854532,0.9307589869026436,,
hedge-4_negtype-star-10_seed-9_am,email-Enron,0.5963620064007747,0.6058949728241217,0.9113841629909682,0.9164986347406008,,
hedge-4_negtype-star-10_seed-9_cn,email-Eu,0.25416690920257223,0.6250008005715878,0.7466919122626859,0.9054039232021064,,
hedge-4_negtype-star-10_seed-9_cn,email-Enron,0.13786581625270825,0.2760019092942088,0.5869145137576139,0.8070048309178744,,
hedge-4_negtype-star-10_seed-9_gm,email-Eu,0.7731139529995644,0.7886849484529771,0.9049793669699736,0.9055830797752221,,
hedge-4_negtype-star-10_seed-9_gm,email-Enron,0.6764077900953386,0.7182910145052048,0.8707624448645243,0.8708464608275573,,
hedge-4_negtype-star-10_seed-9_hm,email-Eu,0.6879941439689747,0.7029484457979842,0.9193157693509242,0.90434213356704,,
hedge-4_negtype-star-10_seed-9_hm,email-Enron,0.5860005446104614,0.5937409469484628,0.8918924595673179,0.897332493173703,,
hedge-4_negtype-star-10_seed-9_jc,email-Eu,0.22558045908255345,0.3128050432959702,0.7583258399722106,0.8260653051172498,,
hedge-4_negtype-star-10_seed-9_jc,email-Enron,0.1973404555168536,0.2329546286848985,0.6733774417139257,0.7245956731779037,,
hedge-4_negtype-star-2_seed-9_aa,email-Eu,0.8659779888754309,0.9605426477843092,0.7358145227915618,0.9017505320505744,,
hedge-4_negtype-star-2_seed-9_aa,email-Enron,0.6524639144132891,0.8760937314014249,0.4447128287707999,0.7949543746645196,,
hedge-4_negtype-star-2_seed-9_am,email-Eu,0.9735422889734155,0.9734994903141616,0.9381355577298668,0.9379766088105292,,
hedge-4_negtype-star-2_seed-9_am,email-Enron,0.931656844515238,0.946699973746946,0.8494363929146537,0.8808373590982286,,
hedge-4_negtype-star-2_seed-9_cn,email-Eu,0.8560088397012792,0.959148443319055,0.7208247830870735,0.8986229503203725,,
hedge-4_negtype-star-2_seed-9_cn,email-Enron,0.65626902282158,0.8558210481289638,0.4551798174986581,0.7909286097691894,,
hedge-4_negtype-star-2_seed-9_gm,email-Eu,0.9679004245058644,0.9688977466506836,0.9045478426729308,0.9053616230683424,,
hedge-4_negtype-star-2_seed-9_gm,email-Enron,0.9531198479027853,0.9488844146080206,0.8615136876006442,0.8539989264626946,,
hedge-4_negtype-star-2_seed-9_hm,email-Eu,0.9677584024644492,0.9677915478870804,0.92148494458679,0.921437355089982,,
hedge-4_negtype-star-2_seed-9_hm,email-Enron,0.960312741838114,0.9602443426715386,0.9044551798174986,0.9044551798174988,,
hedge-4_negtype-star-2_seed-9_jc,email-Eu,0.8669551214589286,0.8847282090278075,0.7499019656365761,0.7849154620178709,,
hedge-4_negtype-star-2_seed-9_jc,email-Enron,0.8204312874149196,0.8428073044321321,0.690552871712292,0.7423510466988729,,
hedge-4_negtype-star-5_seed-9_aa,email-Eu,0.5654079558128268,0.8190691601062544,0.7526151386261427,0.9013688520028744,,
hedge-4_negtype-star-5_seed-9_aa,email-Enron,0.3566564787514843,0.6808687402114527,0.5514829794405123,0.7849258510279744,,
hedge-4_negtype-star-5_seed-9_am,email-Eu,0.8626233450053433,0.8621271024016726,0.9331031133522216,0.9327190417123696,,
hedge-4_negtype-star-5_seed-9_am,email-Enron,0.7753041630597862,0.8090238826997617,0.8653100775193799,0.8819093360296596,,
hedge-4_negtype-star-5_seed-9_cn,email-Eu,0.544615638151497,0.8218745709057729,0.7394327842700312,0.9012447813543708,,
hedge-4_negtype-star-5_seed-9_cn,email-Enron,0.3492980199890149,0.6158794645875016,0.5280165149983148,0.7675261206605998,,
hedge-4_negtype-star-5_seed-9_gm,email-Eu,0.8919254259877025,0.8975436925258875,0.9059289044774604,0.9066818430208284,,
hedge-4_negtype-star-5_seed-9_gm,email-Enron,0.8278879403383417,0.8258655416359899,0.8559993259184361,0.8554095045500505,,
hedge-4_negtype-star-5_seed-9_hm,email-Eu,0.8463313280713781,0.8472444811063643,0.913608512706142,0.909528777852416,,
hedge-4_negtype-star-5_seed-9_hm,email-Enron,0.8005887164252934,0.8007189121997511,0.9030586450960566,0.9023003033367036,,
hedge-4_negtype-star-5_seed-9_jc,email-Eu,0.5170583208141419,0.5974592815164518,0.7530274910755801,0.8075221783886568,,
hedge-4_negtype-star-5_seed-9_jc,email-Enron,0.4162604420507615,0.4663660531965402,0.6453067071115605,0.688953488372093,,
